year,age,people
1850,0,1483789
1850,5,1411067
1850,10,1260099
1850,15,1077133
1850,20,1017281
1850,25,862547
1850,30,730638
1850,35,588487
1850,40,475911
1850,45,384211
1850,50,321343
1850,55,194080
1850,60,174976
1850,65,106827
1850,70,73677
1850,75,40834
1850,80,23449
1850,85,8186
1850,90,5259
1860,0,2120846
1860,5,1804467
1860,10,1612640
1860,15,1438094
1860,20,1351121
1860,25,1217615
1860,30,1043174
1860,35,866910
1860,40,699434
1860,45,552404
1860,50,456176
1860,55,292417
1860,60,260887
1860,65,149331
1860,70,98465
1860,75,56699
1860,80,29007
1860,85,10434
1860,90,7232
1870,0,2800083
1870,5,2428469
1870,10,2427341
1870,15,1958390
1870,20,1805303
1870,25,1509059
1870,30,1251534
1870,35,1185336
1870,40,968861
1870,45,852672
1870,50,736387
1870,55,486036
1870,60,399264
1870,65,260829
1870,70,173364
1870,75,86929
1870,80,47427
1870,85,15891
1870,90,8649
1880,0,3533662
1880,5,3297503
1880,10,2911924
1880,15,2457734
1880,20,2547780
1880,25,2119393
1880,30,1749107
1880,35,1540772
1880,40,1237347
1880,45,1065973
1880,50,964484
1880,55,679147
1880,60,580298
1880,65,369398
1880,70,255422
1880,75,141628
1880,80,67526
1880,85,22437
1880,90,10272
1900,0,4619544
1900,5,4465783
1900,10,4057669
1900,15,3774846
1900,20,3694038
1900,25,3389280
1900,30,2918964
1900,35,2633883
1900,40,2261070
1900,45,1868413
1900,50,1571038
1900,55,1161908
1900,60,916571
1900,65,672663
1900,70,454747
1900,75,268211
1900,80,127435
1900,85,44008
1900,90,15164
1910,0,5296823
1910,5,4991803
1910,10,4650747
1910,15,4566154
1910,20,4637632
1910,25,4257755
1910,30,3658125
1910,35,3427518
1910,40,2860229
1910,45,2363801
1910,50,2126516
1910,55,1508358
1910,60,1189421
1910,65,850159
1910,70,557936
1910,75,322679
1910,80,161715
1910,85,59699
1910,90,23929
1920,0,5934792
1920,5,5789008
1920,10,5401156
1920,15,4724365
1920,20,4549411
1920,25,4565066
1920,30,4110771
1920,35,4081543
1920,40,3321923
1920,45,3143891
1920,50,2546035
1920,55,1880975
1920,60,1587549
1920,65,1095956
1920,70,714618
1920,75,417292
1920,80,187000
1920,85,75991
1920,90,22398
1930,0,5875250
1930,5,6542592
1930,10,6064820
1930,15,5709452
1930,20,5305992
1930,25,4929853
1930,30,4424408
1930,35,4576531
1930,40,4075139
1930,45,3633152
1930,50,3128108
1930,55,2434077
1930,60,1927564
1930,65,1397275
1930,70,919045
1930,75,536375
1930,80,246708
1930,85,88978
1930,90,30338
1940,0,5294628
1940,5,5468378
1940,10,5960416
1940,15,6165109
1940,20,5682414
1940,25,5438166
1940,30,5040048
1940,35,4724804
1940,40,4437392
1940,45,4190187
1940,50,3785735
1940,55,2972069
1940,60,2370232
1940,65,1897678
1940,70,1280023
1940,75,713875
1940,80,359418
1940,85,127303
1940,90,42263
1950,0,8211806
1950,5,6706601
1950,10,5629744
1950,15,5264129
1950,20,5573308
1950,25,6007254
1950,30,5676022
1950,35,5511364
1950,40,5076985
1950,45,4533177
1950,50,4199164
1950,55,3667351
1950,60,3035038
1950,65,2421234
1950,70,1627920
1950,75,1006530
1950,80,511727
1950,85,182821
1950,90,54836
1960,0,10374975
1960,5,9495503
1960,10,8563700
1960,15,6620902
1960,20,5268384
1960,25,5311805
1960,30,5801342
1960,35,6063063
1960,40,5657943
1960,45,5345658
1960,50,4763364
1960,55,4170581
1960,60,3405293
1960,65,2859371
1960,70,2115763
1960,75,1308913
1960,80,619923
1960,85,253245
1960,90,75908
1970,0,8685121
1970,5,10411131
1970,10,10756403
1970,15,9605399
1970,20,7729202
1970,25,6539301
1970,30,5519879
1970,35,5396732
1970,40,5718538
1970,45,5794120
1970,50,5298312
1970,55,4762911
1970,60,4037643
1970,65,3142606
1970,70,2340826
1970,75,1599269
1970,80,886155
1970,85,371123
1970,90,186502
1980,0,8439366
1980,5,8680730
1980,10,9452338
1980,15,10698856
1980,20,10486776
1980,25,9624053
1980,30,8705835
1980,35,6852069
1980,40,5692148
1980,45,5342469
1980,50,5603709
1980,55,5485098
1980,60,4696140
1980,65,3893510
1980,70,2857774
1980,75,1840438
1980,80,1012886
1980,85,472338
1980,90,204148
1990,0,9307465
1990,5,9274732
1990,10,8782542
1990,15,9020572
1990,20,9436188
1990,25,10658027
1990,30,11028712
1990,35,9853933
1990,40,8712632
1990,45,6848082
1990,50,5553992
1990,55,4981670
1990,60,4953822
1990,65,4538398
1990,70,3429420
1990,75,2344932
1990,80,1342996
1990,85,588790
1990,90,238459
2000,0,9735380
2000,5,10552146
2000,10,10563233
2000,15,10237419
2000,20,9731315
2000,25,9659493
2000,30,10205879
2000,35,11475182
2000,40,11320252
2000,45,9925006
2000,50,8507934
2000,55,6459082
2000,60,5123399
2000,65,4453623
2000,70,3792145
2000,75,2912655
2000,80,1902638
2000,85,970357
2000,90,336303